"dataset_id","originalScientificName","n_interpreted","interpreted","aphiaids","url"
"9b787218-7138-4ffa-8ba6-36d63d391f8c","Tylosurus acus",3,"Tylosurus acus;Tylosurus melanotus;Tylosurus rafale","126378;213650;1577319","http://ipt.obis.org/nonode/resource?r=fishbase_occurrence"
"2fd06604-7d20-4712-9f68-eae9ae336bb5","Spirillum",2,"Circeis;Fusus (Spirilla)","129629;446101","http://ipt.obis.org/nonode/resource?r=microbis"
"2fd06604-7d20-4712-9f68-eae9ae336bb5","Unassigned",3,"Burkholderiales;Cyanobacteria;Oscillatoriales","146537;146603;393945","http://ipt.obis.org/nonode/resource?r=microbis"
"18b9f6fd-0cca-4938-a6fa-d6b375dfa716","Prionospio",2,"Prionospio;Pseudopolydora","129620;129621","http://ipt.vliz.be/eurobis/resource?r=benthic-alentejo-2011"
"58be7fc9-bef4-42db-9d4f-07106a711468","Amphitrite gracilis",2,"Amphitritides gracilis;Trinchesia caerulea","131480;986936","http://ipt.vliz.be/eurobis/resource?r=benthos_blackseacruises_2003_2011"
"58be7fc9-bef4-42db-9d4f-07106a711468","Athanas nitescens",2,"Clanculus jussieui;Clelandella miliaris","141773;141774","http://ipt.vliz.be/eurobis/resource?r=benthos_blackseacruises_2003_2011"
"58be7fc9-bef4-42db-9d4f-07106a711468","Bryozoa indet.",2,"Gibbula delgadensis;Steromphala cineraria","141783;1039839","http://ipt.vliz.be/eurobis/resource?r=benthos_blackseacruises_2003_2011"
"58be7fc9-bef4-42db-9d4f-07106a711468","Campanularia johnstoni",2,"Venerupis corrugata;Venus casina","141934;181364","http://ipt.vliz.be/eurobis/resource?r=benthos_blackseacruises_2003_2011"
"58be7fc9-bef4-42db-9d4f-07106a711468","Capitella minima",4,"Ancistrosyrinx clytotropis;Fusiturris similis;Fusiturris undatiruga;Moelleria costulata","141859;141860;141861;141862","http://ipt.vliz.be/eurobis/resource?r=benthos_blackseacruises_2003_2011"
"58be7fc9-bef4-42db-9d4f-07106a711468","Crangon crangon",3,"Crangon crangon;Venus nux;Venus verrucosa","107552;141935;141936","http://ipt.vliz.be/eurobis/resource?r=benthos_blackseacruises_2003_2011"
"58be7fc9-bef4-42db-9d4f-07106a711468","Cumella pygmaea euxinica",3,"Cumella (Cumella) pygmaea euxinica;Halicardia angulata;Spinosipella acuticostata","181492;403944;403945","http://ipt.vliz.be/eurobis/resource?r=benthos_blackseacruises_2003_2011"
